-484,-188,824
-513,-133,766
-594,-119,808
-686,-316,936
-650,-341,986
-662,-175,958
-648,-145,963
-660,-175,980
-689,-208,990
-673,-178,1055
-626,-48,985
-583,37,816
-560,52,726
-563,41,708
-572,52,648
-715,8,867
-696,52,1031
-693,121,880
-688,62,706
-793,-40,1065
-753,-22,1270
-727,58,1083
-691,109,935
-691,44,950
-683,-84,974
-677,-70,976
-698,4,894
-750,-14,815
-748,-108,908
-722,-127,926
-705,-44,861
-674,45,748
-633,41,735
-650,31,752
-678,-68,830
-639,-127,854
-589,-81,874
-548,-14,849
-513,-12,825
-477,-36,822
-456,-3,812
-440,11,824
-419,-91,796
-430,-93,780
-416,-92,815
-381,-180,784
-347,-202,680
-345,-182,582
-380,-125,682
-389,-62,813
-372,-121,714
-396,-239,671
-391,-289,686
-386,-191,604
-474,-9,642
-508,-63,769
-478,-310,673
-512,-395,521
-588,-240,553
-619,-124,729
-677,-143,767
-701,-327,730
-745,-370,772
-769,-86,900
-737,-52,902
-663,-133,766
-631,-155,683
-646,-229,695
-668,-227,639
-699,-232,654
-869,-203,844
-922,-309,988
-849,-331,905
-785,-89,687
-862,-136,748
-804,-284,799
-753,-182,596
-885,-95,554
-944,-196,628
-916,-271,731
-969,-201,609
-1139,-398,693
-1086,-383,887
-956,-291,694
-878,-132,367
-811,-1,37
-1043,-26,85
-1033,-239,387
-917,-215,475
-915,-191,224
-1044,-297,286
-1046,-286,382
-1108,-282,416
-1107,-201,407
-1019,-117,342
-1067,25,266
-1054,22,254
-972,79,280
-966,179,251
-993,102,221
-1000,-62,311
-983,45,475
-945,187,349
-1034,291,249
-1035,64,119
-916,57,64
-1000,307,167
-827,371,255
-907,552,308
-1006,579,476
-1019,685,531
-984,727,295
-901,694,241
-793,782,317
-641,711,107
-558,541,137
-490,694,221
-385,710,108
-283,688,0
-251,742,-62
-234,959,-41
-327,1070,46
-244,1021,10
-142,991,-108
36,1077,-263
-84,764,-358
-131,508,-151
-358,1508,-200
249,1049,-699
240,359,-963
-25,262,-887
228,351,-849
303,455,-882
349,538,-800
392,569,-802
389,584,-795
430,530,-703
365,389,-553
324,359,-535
287,358,-676
332,369,-897
275,281,-912
294,229,-782
256,-3,-802
281,-187,-877
307,-346,-1046
362,-408,-1086
346,-319,-1098
380,-174,-870
425,-199,-734
423,-309,-723
387,-316,-675
361,-325,-625
347,-493,-627
354,-744,-630
388,-757,-694
345,-565,-876
334,-390,-967
295,-485,-928
247,-613,-904
208,-701,-815
71,-557,-697
51,-483,-541
62,-618,-465
-71,-819,-489
-62,-1013,-495
-100,-988,-357
-59,-1001,-369
-103,-995,-328
-126,-1128,-415
-166,-1187,-470
-161,-1016,-503
-156,-859,-605
-154,-797,-585
-201,-760,-478
-179,-927,-540
-170,-947,-491
-119,-799,-444
-178,-808,-526
-160,-916,-374
-178,-873,-254
-217,-752,-280
-203,-749,-200
-278,-929,-239
-390,-1062,-229
-405,-1009,-127
-482,-1261,-253
-462,-1314,-195
-431,-950,-163
-435,-776,-213
-398,-705,-144
-302,-649,-12
-356,-600,-22
-456,-828,-48
-452,-765,0
-492,-738,173
-431,-891,288
